HOLEID,ESTE,NORTE,COTA,LARGO,Proyecto
16QDR-929,2534676.575,6713594.657,2269.409,300,QDD_Main
16QDR-930,2536521.333,6712978.904,2440.518,318,QDD_Main
16QDR-931,2534685.654,6713567.461,2271.761,250,QDD_Main
16QDR-932,2534684.926,6713565.53,2271.989,250,QDD_Main
16QDR-933,2536520.427,6712969.612,2440.748,220,QDD_Main
16QDR-934,2534679.247,6713574.393,2271.442,222,QDD_Main
16QDR-935,2536459.662,6712935.222,2441.228,220,QDD_Main
16QDR-936,2536416.688,6712930.41,2443.02,220,QDD_Main
16QDR-937,2534424.785,6713697.328,2249.962,230,QDD_Main
16QDR-938,2536527.223,6712982.656,2440.697,302,QDD_Main
16QDR-939,2534124.432,6713682.245,2391.394,276,QDD_Main
16QDR-940,2536524.173,6712979.818,2440.569,300,QDD_Main
16QDR-941,2534370.424,6713571.108,2330.262,240,QDD_Main
16QDR-942,2536327.473,6712876.914,2467.075,220,QDD_Main
16QDR-943,2534520.752,6713751.673,2190.225,220,QDD_Main
16QDR-946,2534859.56,6713500.19,2180.153,250,QDD_Main
16QDR-952,2534879.595,6713488.163,2180.135,280,QDD_Main
16QDR-953,2536296.414,6712887.21,2467.196,220,QDD_Main
16QDR-954,2536302.913,6712881.972,2467.513,220,QDD_Main
16QDR-955,2534912.069,6713470.243,2179.57,280,QDD_Main
16QDR-957,2536670.939,6713219.501,2306.299,300,QDD_Main
16QDR-959,2536673.581,6713221.466,2306.202,280,QDD_Main
16QDR-960,2536539.974,6713375.399,2245.893,220,QDD_Main
16QDR-962,2536532.143,6713396.001,2244.331,220,QDD_Main
16QDR-963,2536637.733,6713349.482,2276.521,270,QDD_Main
16QDR-964,2536637.767,6713350.796,2276.639,270,QDD_Main
16QDR-965,2536540.461,6713389.988,2244.53,220,QDD_Main
16QDR-966,2534678.823,6713557.655,2272.331,350,QDD_Main
16QDR-987,2535148.834,6712670.263,2620.453,350,QDD_Main
16QDR-989,2535331.716,6712620.128,2613.14,360,QDD_Main
16QDR-990,2535825.616,6712612.407,2560.207,360,QDD_Main
16QDR-991,2535821.711,6712612.322,2559.95,360,QDD_Main
16QDR-992,2535826.296,6712610.286,2560.304,300,QDD_Main
16QDR-993,2535828.083,6712607.79,2560.578,350,QDD_Main
16QDR-994,2534933.043,6712767.983,2600.688,370,QDD_Main
16QDR-996,2535355.657,6712614.284,2609.502,360,QDD_Main
16QDR-997,2535728,6712698,2460,330,QDD_Main
16QDR-999,2535468,6712750,2460,350,QDD_Main
16QDRInf_01,2535066.49,6713364.782,2089.938,250,QDD_Main
