HOLEID,ESTE,NORTE,COTA,LARGO,Proyecto
19LVR-201,2533954.239,6716772.936,1940.454,124,LV
19LVR-203,2534687.331,6716644.642,1670.077,300,LV
19LVR-204,2534699.659,6716637.933,1669.847,250,LV
19LVR-205,2534753.779,6716607.326,1658.395,250,LV
19LVR-207,2534760.574,6716599.65,1658.303,200,LV
19LVR-208,2534713.739,6716813.93,1583.322,150,LV
19LVR-210,2534848.873,6716718.879,1580.353,300,LV
19LVR-211,2534849.283,6716713.511,1580.63,300,LV
19LVR-213,2535068.384,6715867.828,1590.993,250,LV
20LVR-217,2534053.41,6716065.46,2115.187,250,LV
20LVR-218,2533956.95,6716769.46,1940.74,350,LV
20LVR-219,2533886.94,6716809.86,1908.971,350,LV
20LVR-220,2533806.52,6716917.89,1874.168,300,LV
20LVR-221,2533628.26,6717041.6,1821.983,342,LV
20LVR-222,2534255.88,6717111.39,1597.617,250,LV
20LVT-001,2533790,6717369,1607,23,LV
20LVT-002,2533695,6717464,1600,40,LV
20LVT-003,2533539,6717142,1733,30.3,LV
20LVT-004,2533530,6717112,1736,13,LV
20LVT-005,2533486,6717097,1716,28,LV
20LVT-006,2533672,6717414,1620,22,LV
20LVT-007,2533690,6717392,1628,34,LV
20LVT-008,2533574,6717117,1768,10,LV
20LVT-009,2533562,6717093,1773,10,LV
20LVT-010,2533763.08,6717357.1,1622.77,28,LV
20LVT-011,2533767.77,6717386.9,1609.08,25,LV
20LVT-012,2533847.646,6717236.968,1649.24,19.5,LV
20LVT-013,2533565,6717035,1789,14,LV
20LVT-014,2533547,6717012,1783,8,LV
20LVT-015,2533681,6716917,1848,45,LV
